City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,toliara,-23.354173,43.66966,295.84,64,11,2.12,MG,1692811366
1,jiangyou,31.9525495,104.9347205,295.3,70,70,2.37,CN,1692811367
2,fenghua,29.6574464,121.4015232,300.04,89,92,1.0,CN,1692811367
3,tiksi,71.636604,128.868546,275.09,92,44,0.99,RU,1692811368
4,susuman,62.779732,148.15361,278.47,98,100,1.06,RU,1692811369
5,sisimiut,66.9371906,-53.6664816,281.62,81,100,0.25,GL,1692811370
6,thompson,55.743347,-97.863464,292.25,68,75,1.54,CA,1692811370
7,oranjemund,-28.551932,16.428415,286.57,76,4,8.6,NA,1692811371
8,adamstown,-25.066667,-130.100205,291.74,64,67,11.11,PN,1692811372
9,georgetown,6.8137426,-58.1624465,306.31,74,75,4.12,GY,1692811372
